,sar上涨形成趋势,sar上涨停滞趋势,sar下跌形成趋势,sar下跌停滞趋势,平均比--上涨形成,平均比--上涨停滞,平均比--下跌形成,平均比--下跌停滞,趋势类型,趋势类型(加权
2013-03,361,258,61,381,1.5352044967088234,1.1136969332982996,0.2600845321073706,1.0988225557687243,0,1
2013-04,259,451,258,98,1.1014348051179648,1.9468113058819114,1.100029660388551,0.28263677287489497,1,1
2013-05,168,526,235,135,0.7144441979143554,2.270560414398859,1.0019650007415097,0.3893465748786819,1,1
2013-06,663,81,22,303,2.8195029953405815,0.34964903719830337,0.09380097879282219,0.8738667569499304,0,0
2013-07,39,489,520,12,0.16585311737297537,2.1108441875304984,2.217114044193979,0.03460858443366061,2,1
2013-08,306,183,172,398,1.301309074772576,0.7899478247813521,0.7333531069257008,1.1478513837164104,0,1
2013-09,398,165,16,488,1.6925523260113897,0.7122480387372847,0.06821889366750704,1.407415766968865,0,1
2013-10,380,273,106,313,1.6160047333777088,1.1784467550016893,0.4519501705472342,0.902707243977981,0,1
2013-11,229,465,217,163,0.9738554840618298,2.007244472805075,0.9252187453655643,0.4700999385572233,1,1
2013-12,433,241,72,322,1.8413948672435472,1.0403138020344582,0.3069850215037817,0.9286636823032264,0,1
2014-01,152,506,297,116,0.6464018933510836,2.1842273187943397,1.2663132137030995,0.3345496495253859,1,1
2014-02,200,347,411,111,0.8505288070408994,1.4978792087384107,1.7523728310840871,0.32012940601136064,2,1
2014-03,310,261,106,388,1.318319650913394,1.1266468976389776,0.4519501705472342,1.1190108966883598,0,1
2014-04,214,345,204,289,0.9100658235337623,1.489245899177959,0.8697908942607149,0.8334900751106598,1,1
2014-05,201,330,312,206,0.8547814510761038,1.4244960774745694,1.3302684265163873,0.5941140327778405,1,1
2014-06,199,305,145,376,0.8462761630056949,1.31657970796892,0.6182337238617825,1.084402312254699,1,1
2014-07,253,216,151,394,1.0759189409067378,0.932397432528809,0.6438158089870978,1.1363151889051901,3,1
2014-08,456,96,26,436,1.9392056800532507,0.41439885890169287,0.11085570220969895,1.2574452344230023,0,1
2014-09,449,231,58,282,1.909437171806819,0.9971472542321985,0.24729348954471303,0.8133017341910244,0,1
2014-10,745,80,7,197,3.1682198062273503,0.3453323824180774,0.029845765979534332,0.5681575944525951,0,0
2014-11,389,496,60,79,1.6542785296945492,2.14106077099208,0.2558208512531514,0.22783984752159903,1,1
2014-12,547,365,26,78,2.3261962872568596,1.575578994782478,0.11085570220969895,0.22495579881879396,0,1
2015-01,394,510,86,28,1.6755417498705718,2.2014939379152434,0.3666765534628504,0.08075336367854143,1,1
2015-02,479,424,28,90,2.037016492862954,1.8302616268158103,0.11938306391813733,0.25956438325245457,0,1
2015-03,506,405,9,88,2.1518378818134756,1.748245185991517,0.03837312768797271,0.2537962858468445,0,1
2015-04,926,67,0,19,3.937948376599364,0.28921587027513984,0.0,0.054796925353295965,0,0
2015-05,836,160,0,6,3.5552104134309594,0.6906647648361548,0.0,0.017304292216830306,0,0
2015-06,724,275,2,3,3.0789142814880557,1.187080064562141,0.00852736170843838,0.008652146108415153,0,1
2015-07,187,763,30,0,0.7952444345832409,3.2936075973124135,0.1279104256265757,0.0,1,1
2015-08,13,175,756,4,0.05528437245765846,0.7554145865395443,3.223342725789708,0.011536194811220203,2,2
2015-09,21,61,739,117,0.08930552473929443,0.263315941593784,3.1508601512679815,0.33743369822819097,2,2
