,Macd连涨趋势,Macd连跌趋势,平均比--Macd连涨趋势,平均比--Macd连跌趋势,趋势类型
2017-09,250,611,0.5720823798627003,1.581779093456997,2.0
2017-10,233,578,0.5331807780320366,1.4963474893913982,2.0
2017-11,213,611,0.4874141876430206,1.581779093456997,2.0
2017-12,150,687,0.34324942791762014,1.778530666456558,1.0
2018-01,146,756,0.3340961098398169,1.9571603840482648,1.0
2018-02,135,739,0.30892448512585813,1.9131501637720472,1.0
2018-03,113,773,0.2585812356979405,2.0011706043244826,1.0
2018-04,74,772,0.16933638443935928,1.998581767837646,0.0
2018-05,109,783,0.2494279176201373,2.027058969192846,1.0
2018-06,95,754,0.21739130434782608,1.9519827110745922,1.0
2018-07,75,796,0.17162471395881007,2.060713843521718,0.0
2018-08,61,850,0.13958810068649885,2.2005110138108797,0.0
2018-09,62,877,0.14187643020594964,2.2704095989554607,0.0
2018-10,60,890,0.13729977116704806,2.304064473284333,0.0
2018-11,57,886,0.13043478260869565,2.293709127336988,0.0
2018-12,76,755,0.17391304347826086,1.9545715475614285,0.0
2019-01,200,725,0.4576659038901602,1.8769064529563386,2.0
2019-02,203,689,0.4645308924485126,1.7837083394302309,2.0
2019-03,350,125,0.8009153318077803,0.32360456085454115,6.0
2019-04,965,57,2.208237986270023,0.14756367974967077,8.0
2019-05,945,49,2.1624713958810067,0.12685298785498014,8.0
2019-06,747,121,1.7093821510297482,0.3132492149071958,7.0
2019-07,717,257,1.6407322654462242,0.6653309771169366,6.0
2019-08,662,255,1.5148741418764302,0.6601533041432639,6.0
2019-09,551,332,1.2608695652173914,0.8594937136296613,5.0
2019-10,532,384,1.2173913043478262,0.9941132109451504,4.0
2019-11,528,361,1.208237986270023,0.9345699717479148,4.0
2019-12,460,390,1.0526315789473684,1.0096462298661684,4.0
2020-01,535,176,1.2242562929061784,0.4556352216831939,6.0
2020-02,712,154,1.6292906178489703,0.39868081897279467,7.0
2020-03,509,307,1.1647597254004576,0.7947728014587531,5.0
2020-04,396,421,0.9061784897025171,1.0899001609580945,4.0
2020-05,431,436,0.9862700228832952,1.1287327082606395,4.0
2020-06,487,380,1.1144164759725401,0.983757864997805,4.0
2020-07,593,303,1.356979405034325,0.7844174555114077,5.0
2020-08,747,91,1.7093821510297482,0.23558412030210596,7.0
2020-09,958,66,2.192219679633867,0.17086320813119774,8.0
2020-10,707,96,1.6178489702517163,0.2485283027362876,7.0
2020-11,546,326,1.2494279176201373,0.8439606947086433,5.0
2020-12,564,260,1.2906178489702518,0.6730974865774456,5.0
2021-01,594,256,1.3592677345537758,0.6627421406301003,5.0
2021-02,369,428,0.8443935926773455,1.1080220163659489,4.0
2021-03,361,532,0.8260869565217391,1.3772610109969272,4.0
2021-04,467,388,1.068649885583524,1.0044685568924958,4.0
2021-05,502,342,1.1487414187643021,0.8853820784980245,4.0
2021-06,563,314,1.2883295194508009,0.8128946568666073,5.0
2021-07,606,296,1.3867276887871853,0.7662956001035535,5.0
2021-08,453,370,1.036613272311213,0.9578695001294418,4.0
2021-09,480,361,1.0983981693363845,0.9345699717479148,4.0
2021-10,592,308,1.3546910755148742,0.7973616379455893,5.0
2021-11,453,369,1.036613272311213,0.9552806636426054,4.0
2021-12,428,393,0.9794050343249427,1.0174127393266774,4.0
2022-01,584,240,1.3363844393592677,0.621320756840719,6.0
2022-02,473,265,1.0823798627002288,0.6860416690116272,5.0
2022-03,462,404,1.05720823798627,1.045889940681877,4.0
2022-04,495,370,1.1327231121281465,0.9578695001294418,4.0
2022-05,420,479,0.9610983981693364,1.2400526771946017,4.0
